timestamp,frame_index,fps,confidence_threshold,total_detection,recording,paused,papula,pustula,kistik,0
2026-03-26 02:08:12,10,6.6,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:13,20,10.01,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:14,30,11.92,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:15,40,12.49,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:15,50,13.91,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:16,60,14.32,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:17,70,13.82,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:18,80,13.3,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:18,90,13.7,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:19,100,12.84,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:20,110,13.67,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:21,120,13.56,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:21,130,14.09,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:22,140,13.61,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:23,150,14.21,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:24,160,13.78,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:24,170,13.89,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:25,180,13.72,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:26,190,14.05,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:27,200,14.1,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:27,210,12.95,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:28,220,12.3,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:29,230,13.23,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:30,240,13.84,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:31,250,13.61,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:31,260,13.56,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:32,270,13.37,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:33,280,13.63,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:34,290,13.53,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:35,300,13.11,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:35,310,13.18,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:36,320,13.18,0.7,0,0,0,0,0,0,0
2026-03-26 02:08:37,330,13.3,0.7,0,0,0,0,0,0,0
